year,city,country,official.name,participating.countries,sports,events,athletes
1930,Hamilton,Canada,British Empire Games,11,6,59,400
1934,London,England,British Empire Games,16,6,68,500
1938,Sydney,Australia,British Empire Games,15,7,71,464
1950,Auckland,New Zealand,British Empire Games,12,9,88,590
1954,Vancouver,Canada,British Empire Games & Commonwealth Games,24,9,91,662
1958,Cardiff,Wales,British Empire Games & Commonwealth Games,35,9,94,1122
1962,Perth,Australia,British Empire Games & Commonwealth Games,35,9,104,863
1966,Kingston,Jamaica,British Empire Games & Commonwealth Games,34,9,110,1050
1970,Edinburgh,Scotland,British Commonwealth Games,42,9,121,1383
1974,Christchurch,New Zealand,British Commonwealth Games,38,9,121,1276
1978,Edmonton,Canada,Commonwealth Games,46,10,128,1474
1982,Brisbane,Australia,Commonwealth Games,46,10,142,1583
1986,Edinburgh,Scotland,Commonwealth Games,26,10,163,1662
1990,Auckland,New Zealand,Commonwealth Games,55,10,204,2073
1994,Victoria,Canada,Commonwealth Games,63,10,217,2557
1998,Kuala Lumpur,Malaysia,Commonwealth Games,70,15,213,3633
2002,Manchester,England,Commonwealth Games,72,17,281,3679
2006,Melbourne,Australia,Commonwealth Games,71,16,245,4049
2010,Delhi,India,Commonwealth Games,71,17,272,4352
2014,Glasgow,Scotland,Commonwealth Games,71,17,261,4929
