"year","sport","event","country.code","country","gold","silver","bronze"
1930,"Athletics","1 Mile - Men","AUS","Australia",0,1,0
1930,"Athletics","1 Mile - Men","ENG","England",1,0,0
1930,"Athletics","1 Mile - Men","ENG","England",0,0,1
1930,"Athletics","100 Yard - Men","CAN","Canada",0,0,1
1930,"Athletics","100 Yard - Men","CAN","Canada",1,0,0
1930,"Athletics","100 Yard - Men","ENG","England",0,1,0
1930,"Athletics","120 Yard Hurdles - Men","ENG","England",0,0,1
1930,"Athletics","120 Yard Hurdles - Men","ENG","England",1,0,0
1930,"Athletics","120 Yard Hurdles - Men","RSA","South Africa",0,1,0
1930,"Athletics","2 Mile Steeplechase - Men","AUS","Australia",0,1,0
1930,"Athletics","2 Mile Steeplechase - Men","ENG","England",1,0,0
1930,"Athletics","2 Mile Steeplechase - Men","ENG","England",0,0,1
1930,"Athletics","220 Yard - Men","CAN","Canada",0,1,0
1930,"Athletics","220 Yard - Men","ENG","England",1,0,0
1930,"Athletics","220 Yard - Men","RSA","South Africa",0,0,1
1930,"Athletics","3 Mile - Men","AUS","Australia",0,1,0
1930,"Athletics","3 Mile - Men","ENG","England",1,0,0
1930,"Athletics","3 Mile - Men","ENG","England",0,0,1
1930,"Athletics","4 x 110 Yard Relay - Men","CAN","Canada",1,0,0
1930,"Athletics","4 x 110 Yard Relay - Men","ENG","England",0,1,0
1930,"Athletics","4 x 110 Yard Relay - Men","RSA","South Africa",0,0,1
1930,"Athletics","4 x 440 Yard Relay - Men","CAN","Canada",0,1,0
1930,"Athletics","4 x 440 Yard Relay - Men","ENG","England",1,0,0
1930,"Athletics","4 x 440 Yard Relay - Men","RSA","South Africa",0,0,1
1930,"Athletics","440 Yard - Men","AUS","Australia",0,0,1
1930,"Athletics","440 Yard - Men","CAN","Canada",1,0,0
1930,"Athletics","440 Yard - Men","RSA","South Africa",0,1,0
1930,"Athletics","440 Yard Hurdles - Men","ENG","England",0,1,0
1930,"Athletics","440 Yard Hurdles - Men","ENG","England",0,0,1
1930,"Athletics","440 Yard Hurdles - Men","ENG","England",1,0,0
1930,"Athletics","6 Mile - Men","ENG","England",0,0,1
1930,"Athletics","6 Mile - Men","ENG","England",0,1,0
