"year","country.code","country","continent","lat","long","gold","silver","bronze","notes","total"
"1930","AUS","Australia","Oceania",-25.274398,133.775136,3,4,1,"",8
"1930","BER","Bermuda","Americas",32.3078,-64.7505,0,0,0,"",0
"1930","CAN","Canada","Americas",56.130366,-106.346771,20,15,19,"",54
"1930","ENG","England","Europe",52.3555177,-1.1743197,25,23,13,"",61
"1930","GUY","Guyana","Americas",5.125588,-58.801961,0,1,1,"",2
"1930","NIR","Northern Ireland","Europe",54.7877149,-6.4923145,0,1,0,"",1
"1930","NZL","New Zealand","Oceania",-40.900557,174.885971,3,4,2,"",9
"1930","RSA","South Africa","Africa",-30.559482,22.937506,6,4,7,"",17
"1930","SCO","Scotland","Europe",56.4906712,-4.2026458,2,3,5,"",10
"1930","WAL","Wales","Europe",52.1306607,-3.7837117,0,2,1,"",3
"1934","AUS","Australia","Oceania",-25.274398,133.775136,8,4,2,"",14
"1934","BER","Bermuda","Americas",32.3078,-64.7505,0,0,0,"",0
"1934","CAN","Canada","Americas",56.130366,-106.346771,15,25,9,"",49
"1934","ENG","England","Europe",52.3555177,-1.1743197,29,19,24,"",72
"1934","GUY","Guyana","Americas",5.125588,-58.801961,1,0,0,"",1
"1934","IND","India","Asia",20.440132,78.152548,0,0,1,"",1
"1934","JAM","Jamaica","Caribbean",18.109581,-77.297508,0,1,1,"",2
"1934","NIR","Northern Ireland","Europe",54.7877149,-6.4923145,0,1,2,"",3
"1934","NZL","New Zealand","Oceania",-40.900557,174.885971,1,0,2,"",3
"1934","RSA","South Africa","Africa",-30.559482,22.937506,7,9,5,"",21
"1934","SCO","Scotland","Europe",56.4906712,-4.2026458,5,4,16,"",25
"1934","TTO","Trinidad & Tobago","Caribbean",10.691803,-61.222503,0,0,0,"",0
"1934","WAL","Wales","Europe",52.1306607,-3.7837117,0,3,3,"",6
"1934","ZIM","Zimbabwe","Africa",-19.015438,29.154857,0,0,2,"Historic CGAs and teams",2
"1938","AUS","Australia","Oceania",-25.274398,133.775136,25,19,22,"",66
"1938","BER","Bermuda","Americas",32.3078,-64.7505,0,0,0,"",0
"1938","CAN","Canada","Americas",56.130366,-106.346771,13,16,15,"",44
"1938","ENG","England","Europe",52.3555177,-1.1743197,15,15,10,"",40
"1938","FIJ","Fiji","Oceania",-17.713371,178.065032,0,0,0,"",0
"1938","GUY","Guyana","Americas",5.125588,-58.801961,0,1,0,"",1
"1938","IND","India","Asia",20.440132,78.152548,0,0,0,"",0
"1938","NIR","Northern Ireland","Europe",54.7877149,-6.4923145,0,0,0,"",0
"1938","NZL","New Zealand","Oceania",-40.900557,174.885971,5,7,13,"",25
"1938","RSA","South Africa","Africa",-30.559482,22.937506,10,10,6,"",26
"1938","SCO","Scotland","Europe",56.4906712,-4.2026458,0,2,3,"",5
"1938","SRI","Sri Lanka","Asia",7.873054,80.771797,1,0,0,"",1
"1938","TTO","Trinidad & Tobago","Caribbean",10.691803,-61.222503,0,0,0,"",0
"1938","WAL","Wales","Europe",52.1306607,-3.7837117,2,1,0,"",3
"1938","ZIM","Zimbabwe","Africa",-19.015438,29.154857,0,0,2,"Historic CGAs and teams",2
"1950","AUS","Australia","Oceania",-25.274398,133.775136,34,27,19,"",80
"1950","CAN","Canada","Americas",56.130366,-106.346771,8,9,13,"",30
"1950","ENG","England","Europe",52.3555177,-1.1743197,19,16,13,"",48
"1950","FIJ","Fiji","Oceania",-17.713371,178.065032,1,2,2,"",5
"1950","NGR","Nigeria","Africa",9.081999,8.675277,0,1,0,"",1
"1950","NZL","New Zealand","Oceania",-40.900557,174.885971,10,22,22,"",54
"1950","RSA","South Africa","Africa",-30.559482,22.937506,8,4,8,"",20
"1950","SCO","Scotland","Europe",56.4906712,-4.2026458,5,3,2,"",10
"1950","SRI","Sri Lanka","Asia",7.873054,80.771797,1,2,0,"",3
"1950","WAL","Wales","Europe",52.1306607,-3.7837117,0,1,0,"",1
"1950","ZIM","Zimbabwe","Africa",-19.015438,29.154857,0,1,0,"Historic CGAs and teams",1
"1954","AUS","Australia","Oceania",-25.274398,133.775136,20,11,17,"",48
"1954","BAH","Bahamas","Americas",25.03428,-77.39628,0,0,0,"",0
"1954","BAR","Barbados","Caribbean",13.193887,-59.543198,0,1,0,"",1
"1954","BER","Bermuda","Americas",32.3078,-64.7505,0,0,0,"",0
"1954","CAN","Canada","Americas",56.130366,-106.346771,9,20,14,"",43
"1954","ENG","England","Europe",52.3555177,-1.1743197,23,24,20,"",67
"1954","FIJ","Fiji","Oceania",-17.713371,178.065032,0,0,0,"",0
"1954","GHA","Ghana","Africa",7.946527,-1.023194,0,0,0,"",0
"1954","GUY","Guyana","Americas",5.125588,-58.801961,0,0,1,"",1
"1954","HKG","Hong Kong","Asia",22.396428,114.109497,0,1,0,"Historic CGAs and teams",1
"1954","IND","India","Asia",20.440132,78.152548,0,0,0,"",0
"1954","JAM","Jamaica","Caribbean",18.109581,-77.297508,1,0,0,"",1
"1954","KEN","Kenya","Africa",-0.023559,37.906193,0,0,0,"",0
"1954","NGR","Nigeria","Africa",9.081999,8.675277,1,3,3,"",7
"1954","NIR","Northern Ireland","Europe",54.7877149,-6.4923145,2,1,0,"",3
"1954","NZL","New Zealand","Oceania",-40.900557,174.885971,7,7,5,"",19
"1954","PAK","Pakistan","Asia",30.375321,69.345116,1,3,2,"",6
"1954","RSA","South Africa","Africa",-30.559482,22.937506,16,6,13,"",35
"1954","SCO","Scotland","Europe",56.4906712,-4.2026458,6,2,5,"",13
"1954","TTO","Trinidad & Tobago","Caribbean",10.691803,-61.222503,2,2,0,"",4
"1954","UGA","Uganda","Africa",1.373333,32.290275,0,1,0,"",1
"1954","WAL","Wales","Europe",52.1306607,-3.7837117,1,1,5,"",7
"1954","ZAM","Zambia","Africa",-13.133897,27.849332,0,0,1,"",1
"1954","ZIM","Zimbabwe","Africa",-19.015438,29.154857,3,6,3,"Historic CGAs and teams",12
"1958","AUS","Australia","Oceania",-25.274398,133.775136,27,22,17,"",66
"1958","BAH","Bahamas","Americas",25.03428,-77.39628,1,1,0,"",2
"1958","BAR","Barbados","Caribbean",13.193887,-59.543198,1,1,0,"",2
"1958","CAN","Canada","Americas",56.130366,-106.346771,1,10,16,"",27
"1958","DMA","Dominica","Caribbean",15.414999,-61.370976,0,0,0,"",0
"1958","ENG","England","Europe",52.3555177,-1.1743197,29,22,29,"",80
"1958","FIJ","Fiji","Oceania",-17.713371,178.065032,0,0,0,"",0
"1958","GHA","Ghana","Africa",7.946527,-1.023194,0,0,1,"",1
"1958","GIB","Gibraltar","Europe",36.140751,-5.353585,0,0,0,"",0
"1958","GUY","Guyana","Americas",5.125588,-58.801961,0,1,0,"",1
"1958","HKG","Hong Kong","Asia",22.396428,114.109497,0,0,0,"Historic CGAs and teams",0
"1958","IND","India","Asia",20.440132,78.152548,2,1,0,"",3
"1958","IOM","Isle of Man","Europe",54.220754,-4.523504,0,0,1,"",1
"1958","JAM","Jamaica","Caribbean",18.109581,-77.297508,4,2,1,"",7
"1958","JEY","Jersey","Europe",49.214439,-2.13125,0,0,0,"",0
"1958","KEN","Kenya","Africa",-0.023559,37.906193,0,0,2,"",2
"1958","MLT","Malta","Europe",35.937496,14.375416,0,0,0,"",0
"1958","MRI","Mauritius","Africa",-20.348404,57.552152,0,0,0,"",0
"1958","NGR","Nigeria","Africa",9.081999,8.675277,0,1,1,"",2
"1958","NIR","Northern Ireland","Europe",54.7877149,-6.4923145,1,1,3,"",5
"1958","NZL","New Zealand","Oceania",-40.900557,174.885971,4,6,9,"",19
"1958","PAK","Pakistan","Asia",30.375321,69.345116,3,5,2,"",10
"1958","RSA","South Africa","Africa",-30.559482,22.937506,13,10,8,"",31
"1958","SCO","Scotland","Europe",56.4906712,-4.2026458,5,5,3,"",13
"1958","SIN","Singapore","Asia",1.352083,103.819836,2,0,0,"",2
"1958","SLE","Sierra Leone","Africa",8.460555,-11.779889,0,0,0,"",0
"1958","SRI","Sri Lanka","Asia",7.873054,80.771797,0,0,0,"",0
"1958","SVG","St. Vincent & The Grenadines","Caribbean",13.2528179,-61.1971628,0,0,0,"",0
"1958","TTO","Trinidad & Tobago","Caribbean",10.691803,-61.222503,0,0,1,"",1
"1958","UGA","Uganda","Africa",1.373333,32.290275,0,1,0,"",1
"1958","WAL","Wales","Europe",52.1306607,-3.7837117,1,3,7,"",11
"1958","ZIM","Zimbabwe","Africa",-19.015438,29.154857,0,0,3,"Historic CGAs and teams",3
"1962","AUS","Australia","Oceania",-25.274398,133.775136,38,36,31,"",105
"1962","BAH","Bahamas","Americas",25.03428,-77.39628,0,1,0,"",1
"1962","BAR","Barbados","Caribbean",13.193887,-59.543198,0,0,1,"",1
"1962","BIZ","Belize","Americas",17.189877,-88.49765,0,0,0,"",0
"1962","CAN","Canada","Americas",56.130366,-106.346771,4,12,15,"",31
"1962","DMA","Dominica","Caribbean",15.414999,-61.370976,0,0,0,"",0
"1962","ENG","England","Europe",52.3555177,-1.1743197,28,22,27,"",77
"1962","FIJ","Fiji","Oceania",-17.713371,178.065032,0,0,2,"",2
